Computational complexity theory,Analysis of algorithms,Big O notation,Total order,Sorting algorithm,Quicksort,Time complexity,Space complexity,Array data structure,Bubble sort,Insertion sort,Merge sort,Heapsort,Selection sort,Shellsort,Radix sort,Gnome sort,y
635,389,3306,442,1692,2315,1456,105,1114,1478,1640,1690,892,984,347,760,78,364
633,322,2893,354,1461,2133,1202,73,961,1227,1373,1388,784,811,294,557,72,317
603,264,1928,297,1145,1444,898,66,762,876,924,964,560,533,207,438,67,231
597,371,2298,366,1222,1719,1124,83,841,1079,1085,1159,647,603,241,562,53,265
659,394,3242,474,1857,2337,1459,107,1071,1492,1671,1654,887,925,317,699,108,453
617,411,3331,405,1751,2325,1395,111,1152,1575,1791,1824,930,1017,327,734,113,409
895,531,3452,396,1813,2213,1975,89,1093,1699,1748,2833,979,1077,330,683,126,537
758,371,3233,386,1983,2314,1969,77,1007,1629,1811,1611,903,1070,326,682,104,391
608,293,2662,329,1574,1795,1451,60,776,1291,1395,1301,684,819,341,590,100,303
424,267,1855,287,1035,1220,988,60,524,845,1002,895,486,581,189,476,73,202
464,262,2129,274,1237,1418,1001,59,592,941,1055,1001,628,623,192,792,68,293
682,374,3182,361,1810,2319,1424,104,875,1586,1810,1607,809,1125,355,776,82,395
601,357,3169,403,1823,2245,1402,127,975,1807,1843,1794,872,1005,364,725,78,340
649,368,3072,379,1854,2225,1374,87,949,1605,1664,1814,859,906,400,727,87,376
567,302,2765,329,1542,1960,1292,88,897,1376,1395,1318,821,869,391,624,83,426
567,291,2295,322,1353,1732,1080,74,805,1260,1172,1248,699,714,232,517,63,326
412,242,1863,284,1112,1316,874,66,604,918,966,860,507,560,228,381,48,248
527,265,2108,390,1149,1572,956,71,836,1013,1110,1158,623,754,289,461,56,294
690,363,3113,516,1730,2207,1371,102,1067,1635,1918,1665,914,1007,466,736,81,534
671,382,3340,393,2119,2270,1391,121,1124,1811,1923,1735,902,1224,489,771,97,631
610,380,3869,457,1768,2291,1505,102,1119,1574,1817,1702,873,955,399,729,94,672
597,349,3397,389,1647,2077,1381,104,1129,1462,1709,1563,884,975,364,702,77,398
571,308,2792,384,1457,1696,1295,90,966,1242,1405,1308,794,701,314,616,62,372
480,320,1777,293,1007,1222,876,62,688,770,859,901,515,475,175,467,50,220
473,289,1973,352,1117,1393,963,100,755,937,1139,1146,700,701,264,499,63,306
615,367,3133,397,1490,2100,1258,88,993,1426,1671,1641,834,804,347,650,70,347
646,405,3447,388,1767,2305,1395,96,1320,1683,1894,1829,968,1063,304,770,103,390
728,408,3560,383,1736,2252,1401,92,1302,1778,1855,1775,902,1072,322,714,76,360
672,355,3170,394,2142,2181,1357,90,1223,1467,1765,1731,909,989,325,675,73,349
542,281,2337,333,1678,1779,1072,65,923,1210,1379,1437,691,734,264,529,50,320
473,255,1698,252,988,1240,864,73,716,866,1122,1063,552,479,244,419,41,255
473,262,1876,269,1071,1471,966,75,825,969,1245,1235,715,598,264,531,69,320
593,330,2644,365,1622,2216,1201,122,1019,1509,1961,1850,923,877,305,706,102,403
711,336,2902,353,1665,2236,1373,94,1129,1608,2005,1819,986,1061,299,783,113,447
