Computational complexity theory,Analysis of algorithms,Big O notation,Total order,Sorting algorithm,Quicksort,Time complexity,Space complexity,Array data structure,Bubble sort,Insertion sort,Merge sort,Heapsort,Selection sort,Shellsort,Radix sort,Gnome sort,y
346,193,1635,237,1116,1156,769,71,649,718,658,817,455,410,151,389,90,213
532,372,1956,261,1400,1507,999,110,985,1013,938,1162,598,508,211,397,109,190
426,270,2121,254,1289,1379,996,98,997,902,912,1052,453,531,271,485,94,214
421,214,2181,285,1257,1395,1094,110,966,998,861,995,462,490,192,438,63,230
375,244,1462,243,1045,1096,700,102,706,678,732,729,382,367,189,321,50,229
338,176,1343,215,818,1000,708,83,648,551,585,751,301,335,108,295,46,164
437,318,1981,300,1126,1287,867,112,971,805,977,925,455,524,231,361,59,194
406,247,2057,233,1191,1282,947,94,708,778,846,906,445,530,173,389,46,240
482,374,2600,380,1495,1962,1333,139,1032,1161,1145,1369,649,762,231,529,56,297
442,327,2808,454,1549,1927,1297,148,1072,1177,1069,1366,525,592,214,434,72,288
522,309,2828,331,1421,2117,1355,115,1165,1152,1145,1395,570,729,202,388,58,288
405,310,2794,319,1437,2096,1351,161,1427,1156,1197,1566,678,778,266,419,45,256
425,307,2654,276,1355,1683,1210,139,1034,1000,1008,1164,563,628,170,464,49,237
358,246,2112,238,1126,1370,995,115,796,887,972,1071,522,517,168,306,40,193
388,277,2369,274,1169,1506,1079,137,743,925,928,1173,559,624,183,381,55,235
476,405,3540,358,1712,2010,1601,159,1141,1471,1398,1690,642,1277,242,516,63,259
494,335,3448,384,1764,2292,1499,162,1120,1402,1470,1561,719,1272,260,490,66,287
467,491,3589,342,1897,2131,1433,175,1169,1395,1404,1595,715,864,232,474,58,308
497,341,3576,359,1454,2048,1412,143,1049,1195,1195,1530,700,706,249,422,50,282
433,250,2876,332,1352,1696,1211,139,841,1204,1088,1220,595,737,273,434,83,227
359,195,2010,283,1025,1533,911,108,580,921,821,917,578,737,255,371,50,178
378,220,2169,333,1033,1481,916,92,539,865,822,935,473,549,256,339,83,173
492,266,2844,405,1318,1860,1280,137,893,1252,1198,1230,643,753,238,387,60,239
453,279,3531,468,1437,2150,1438,159,749,1322,1385,1576,787,687,246,470,65,248
446,338,3561,395,1352,1900,1423,126,1048,1302,1121,1373,580,727,218,548,52,233
472,335,3283,401,1382,1810,1281,122,968,1286,1171,1324,552,744,227,435,59,228
436,302,3286,380,1480,1952,1446,100,874,1300,1436,1478,623,763,273,604,48,242
407,284,2499,313,1078,1635,1067,123,748,984,949,1127,510,557,197,491,40,205
357,260,2555,310,1140,1520,1050,135,686,1043,986,1027,498,551,205,436,58,235
416,320,3515,352,1435,2117,1500,178,1056,1527,1354,1397,648,787,300,1062,57,290
408,288,3502,429,1390,1992,1360,158,961,1381,1482,1397,676,860,219,892,51,269
544,372,3857,389,1611,2143,1527,169,1092,1536,1559,1497,709,764,285,783,61,280
466,409,3650,295,1694,2123,1343,188,1057,1603,1511,1523,691,822,293,616,66,256
424,328,3334,273,1347,1888,1317,135,882,1392,1391,1269,542,741,277,524,56,215
392,317,2377,257,1100,1713,1116,134,730,1140,1009,1035,500,775,202,445,45,232
390,238,2666,321,1159,1716,1069,104,703,1176,1070,1160,523,602,235,416,40,182
446,348,3674,348,1623,2405,1494,150,957,1549,1420,1594,655,849,355,562,50,272
445,353,4003,359,1618,2224,1503,159,1013,1701,1584,1566,686,892,326,677,78,328
630,330,3882,394,1679,2359,1527,179,1009,1443,1721,1827,762,1030,277,780,54,344
482,411,3762,343,1470,2317,1495,162,1019,1434,1517,1629,722,898,310,600,72,263
398,310,3039,366,1352,1901,1358,155,833,1294,1213,1403,601,669,271,531,68,274
352,217,2416,261,1146,1655,1057,95,728,901,918,1099,534,610,161,367,44,231
366,301,2411,326,1191,1692,1076,140,644,1073,1042,1176,584,603,209,440,77,223
465,309,3367,309,1597,2231,1409,143,932,1414,1323,1507,736,778,281,632,82,251
506,371,3280,417,1453,2334,1451,175,1021,1523,1448,1768,668,949,360,631,96,294
1073,335,3385,360,2038,2369,1519,303,1137,1528,1491,1902,715,850,335,748,98,286
480,271,3293,351,1495,2298,1343,162,1109,1387,1343,1607,712,866,372,831,193,289
460,282,3019,350,1377,1877,1283,154,873,1259,1071,1419,581,734,325,519,144,235
445,263,2115,268,992,1507,1050,106,700,906,908,1030,488,561,231,428,122,181
359,235,2350,325,1027,1560,1044,114,641,1006,927,1058,509,711,223,440,136,204
495,370,3002,390,1434,2216,1361,145,894,1316,1528,1553,658,798,292,568,159,265
524,333,3431,377,1477,2186,1464,149,1087,1440,1265,1563,667,840,318,650,174,290
472,356,3274,365,1487,2330,1323,196,1103,1397,1386,1519,624,910,265,694,102,373
516,309,3232,391,1433,2297,1338,171,1070,1380,1470,1937,673,885,316,614,101,337
477,322,3111,337,1364,2122,1440,166,924,1133,1235,1515,638,678,225,534,66,285
375,245,2190,303,1029,1617,1059,114,706,981,967,1261,523,686,181,453,51,195
609,235,2340,283,1190,1946,1072,131,723,997,1022,1346,633,619,197,572,61,284
554,303,3319,341,1531,2387,1532,163,942,1414,1474,1640,690,847,300,763,74,330
537,346,3383,339,1424,2462,1487,171,1145,1384,1414,1642,595,872,300,612,68,328
553,411,4053,376,1855,2270,1674,236,1067,1762,1384,1888,757,1063,348,528,86,342
506,362,3552,354,1734,2216,1574,177,1022,1512,1433,1722,748,1037,335,581,80,369
463,331,3090,355,1518,2062,1631,146,966,1233,1272,1469,702,835,327,572,59,319
386,238,2368,272,1140,1658,1107,115,824,1011,1028,1152,544,674,270,448,48,239
462,205,2405,323,1272,1867,1181,139,826,1120,1173,1472,683,640,258,524,44,243
520,572,3695,382,1705,2650,1584,202,1182,1471,1573,1712,869,1054,314,628,73,334
622,377,3656,499,1762,2651,1747,173,1016,1641,1641,1888,820,1172,303,619,66,286
589,572,3911,398,1594,2283,1688,180,1058,1381,1510,1693,775,851,269,656,67,315
529,389,3643,388,1810,2317,1668,192,986,1551,1593,1700,862,1016,350,605,70,377
473,328,3272,367,1602,2271,1593,179,954,1383,1512,1471,791,869,271,711,73,344
366,286,2268,321,1273,1612,1033,154,779,995,1056,1154,558,642,208,476,52,247
421,322,2411,332,1293,1838,1196,147,744,1015,1203,1261,583,707,262,501,37,250
517,386,3442,455,1729,2393,1686,133,1068,1561,1773,1702,817,1000,293,712,60,336
538,412,3625,408,1742,2494,1735,206,1184,1587,1639,1884,942,944,250,758,108,342
556,482,3732,458,1836,2865,1767,177,1105,1537,1693,1790,976,965,329,795,61,291
546,377,3518,391,1883,2371,1553,170,1016,1613,1615,1730,780,877,286,934,77,368
418,347,3012,337,1552,2168,1391,127,899,1404,1373,1523,618,783,332,772,83,225
454,253,2139,335,1218,1682,1033,125,829,1104,1097,1196,529,670,219,813,64,187
443,281,2315,393,1338,1764,1217,135,719,1142,1233,1363,635,715,277,820,69,298
523,424,3374,346,1643,2588,1408,146,1025,1550,1557,1907,842,831,305,920,84,336
